id;Nodo origen;Nodo destino;Tipo relacion;frecuencia;detalle;id_flujo;descripcion_flujo;secuencia_flujo;cypher
79;Excel_SaldosLinea;GestionBCS;DIARIO;Diario;;97;Cuadratura custodia;2;
80;;;;;De core cash a portal autogesti¢n NNFF;;;;

81;;;;;De tyba a core cash;;;;

82;;;;;"De bicorr a core cash: Informaci¢n de cliente para crearlo en core cash. Tambi‚n para conocer su estado. Integraciones en l¡nea, est n consultando directamente a la BD.

Descarto la integraci¢n de dispersi¢n de pagos";;;;

83;;;;;;;;;

84;;;;;;;;;

85;;;;;De GDP_EC pasa a Plataforma Banqueros para Agrupaciones (Eventos de Capital) ;;;;

;;;;;Orion comisionista;Portafolios, contabilizaci¢n de operaciones, ;;;

;;;;;Orion corporacion;;;;

;;;;;Prometeo a Orion;Informaci¢n de saldos de comisiones. Las comisiones en Prometeo son las de posiciones propias. Stored procedures;;;

;;;;;Oracle ERP a Orion;¨?;;;

;;;;;Orion a Prometeo;WS informaci¢n del comercial. No viaja info de cliente;;;

;;;;;CorInterno a Orion;CorInterno crea las operaciones en la BVC y las env¡a a Orion. Stored procedure. ;;;

;;;;;CorInterno a BVC;Cea operaciones de Bolsa. ;;;

;;;;;BVC a Agora Gateway;;;;

;;;;;Agora Gateway a Prometeo;;;;

;;;;;Prometeo a Bolsa;Se conecta por servicios de complementaci¢n. ;;;

;;;;;Prometeo;Informaci¢n de negociaciones de operaci¢n propia (Bolsa o Banrep - SEN)  ;;;

;;;;;Orion a Bolsa;Batch de operaciones, carga manual. ;;;

;;;;;Salesforce Sales a todos los core;;;;

;;;;;Servidor bogweb014 - Servicio gestor sincronizaci¢n de clientes;;;;

;;;;;Calypso;Core de la corporaci¢n financiera;;;

;;;;;ZWT es el portal de sifi, que no es transsaccional. Se llama Portal Inmobiliario;;;;

;;;;;Siif a core cash;;;;

;;;;;Core cash a siif;;;;

;;;;;Sif a Orion;Creaci¢n de productos y comisiones de comerciales;;;

;;;;;Orion a Sif;Titulos que operan en Orion. Orion se conecta con el mercado. Credicorp tiene varios productos. Uno de esos productos es t¡tulos de fondos. ;;;

;;;;;sif a sifi;Valor de unidad, para complementar informes normativos;;;

;;;;;id 13 debe ir al core cash;;;;

;;;;;ETL Colombia;;;;

;;;;;sif a ERP;Hay manuales y autom ticas;;;
